feature,gain,split,category
lagged_forward_returns_roll60_mean,25.0,25.0,other
P3_ewm14,25.0,25.0,other
E10_lag_1,25.0,25.0,lag_derived
V13_pct1,25.0,25.0,other
D3_ewm30,0.0,0.0,other
D2_ewm14,0.0,0.0,other
D2_ewm30,0.0,0.0,other
D3_ewm7,0.0,0.0,other
D3_ewm14,0.0,0.0,other
D4_ewm14,0.0,0.0,other
D4_ewm7,0.0,0.0,other
D1_ewm30,0.0,0.0,other
D4_ewm30,0.0,0.0,other
D5_ewm7,0.0,0.0,other
D5_ewm14,0.0,0.0,other
D5_ewm30,0.0,0.0,other
D2_ewm7,0.0,0.0,other
D1_ewm14,0.0,0.0,other
D7_ewm14,0.0,0.0,other
D1_ewm7,0.0,0.0,other
lagged_market_forward_excess_returns_pct7,0.0,0.0,other
lagged_market_forward_excess_returns_pct3,0.0,0.0,other
lagged_market_forward_excess_returns_pct1,0.0,0.0,other
lagged_risk_free_rate_pct7,0.0,0.0,other
lagged_risk_free_rate_pct3,0.0,0.0,other
lagged_risk_free_rate_pct1,0.0,0.0,other
lagged_forward_returns_pct7,0.0,0.0,other
lagged_forward_returns_pct3,0.0,0.0,other
lagged_forward_returns_pct1,0.0,0.0,other
E6_pct7,0.0,0.0,other
E6_pct3,0.0,0.0,other
D7_ewm7,0.0,0.0,other
D1_lag_1,0.0,0.0,lag_derived
D7_ewm30,0.0,0.0,other
E6_pct1,0.0,0.0,other
V3_ewm30,0.0,0.0,other
V3_ewm14,0.0,0.0,other
V3_ewm7,0.0,0.0,other
S5_ewm30,0.0,0.0,other
S5_ewm14,0.0,0.0,other
S5_ewm7,0.0,0.0,other
M8_ewm30,0.0,0.0,other
M8_ewm14,0.0,0.0,other
M8_ewm7,0.0,0.0,other
P3_ewm30,0.0,0.0,other
P3_ewm7,0.0,0.0,other
D6_ewm30,0.0,0.0,other
D6_ewm14,0.0,0.0,other
D6_ewm7,0.0,0.0,other
V7_ewm30,0.0,0.0,other
V7_ewm14,0.0,0.0,other
V7_ewm7,0.0,0.0,other
P11_ewm30,0.0,0.0,other
P11_ewm14,0.0,0.0,other
P11_ewm7,0.0,0.0,other
D9_ewm30,0.0,0.0,other
D9_ewm14,0.0,0.0,other
D9_ewm7,0.0,0.0,other
D8_ewm30,0.0,0.0,other
D8_ewm14,0.0,0.0,other
D8_ewm7,0.0,0.0,other
